name,year,num
彗星来的那一夜,2013,483051
千钧一发,1997,246786
战争之王,2005,318828
燃情岁月,1994,257311
崖上的波妞,2008,415667
谍影重重2,2004,314082
阿飞正传,1990,445133
海洋,2009,146073
谍影重重,2002,376816
爱乐之城,2016,752364
穿越时空的少女,2006,344027
地球上的星星,2007,183959
香水,2006,493070
再次出发之纽约遇见你,2013,378780
我爱你,2011,147063
完美陌生人,2016,477247
朗读者,2008,415547
火星救援,2015,625405
驴得水,2016,823117
聚焦,2015,247683
千年女优,2001,213910
小萝莉的猴神大叔,2015,441000
末路狂花,1991,198358
浪潮,2008,243152
